question_id,exercise_id,exercise_name,exercise_start_at_iso,exercise_end_at_iso,exercise_duration_seconds,module_start_at_iso,module_end_at_iso,module,category,item,item_image_filename,difficulty_label,question_type,presented_at_iso,response_at_iso,response_time_seconds,user_answer,correct_answer,correct,correct_before_cue,cue_given,cue_type,cue_stage,cue_sequence_number,cue_wait_seconds,hint_count,session_id,user_id,therapist_assigned_level,device_type,created_at_iso
Q_00616,EX_COM_FOO_H_316,Comprehension: Food Hard #3,2024-10-04T14:01:33,2024-10-04T16:35:48.930000,9255.93,2024-10-04T12:08:30,2024-10-04T16:35:48.930000,comprehension,food,potato,food/potato.png,hard,yes_no_question,2024-10-04T16:35:23,2024-10-04T16:35:48.930000,25.93,soup,potato,0,0,1,modeling,3,1,58.59,2,SESS_USER_040_002,USER_040,3,web,2024-10-04T16:35:49.758641
Q_00617,EX_WRI_ANI_E_115,Writing: Animals Easy #6,2024-02-11T16:13:09,2024-02-11T18:47:31.150000,9262.15,2024-02-11T20:09:00,2024-02-11T18:47:31.150000,writing,animals,turtle,animals/turtle.png,easy,pic_to_word,2024-02-11T18:47:13,2024-02-11T18:47:31.150000,18.15,cat,turtle,0,0,1,spelling,3,1,59.82,3,SESS_USER_017_001,USER_017,5,web,2024-02-11T18:47:32.598175
Q_00618,EX_COM_BOD_H_317,Comprehension: Body Parts Hard #8,2024-12-15T13:38:34,2024-12-15T16:13:37.370000,9303.37,2024-12-15T13:38:30,2024-12-15T16:13:37.370000,comprehension,body_parts,elbow,body_parts/elbow.png,hard,category_sorting,2024-12-15T16:12:51,2024-12-15T16:13:37.370000,46.37,head,elbow,0,0,1,functional,5,1,14.87,2,SESS_USER_033_002,USER_033,2,web,2024-12-15T16:13:39.138004
Q_00619,EX_WRI_CLO_E_156,Writing: Clothing Easy #7,2024-04-11T11:22:06,2024-04-11T13:57:07.690000,9301.69,2024-04-11T14:46:00,2024-04-11T13:57:07.690000,writing,clothing,hat,clothing/hat.png,easy,spelling_choice,2024-04-11T13:56:41,2024-04-11T13:57:07.690000,26.69,hat,hat,1,1,1,rhyming,4,2,52.94,3,SESS_USER_046_001,USER_046,5,web,2024-04-11T13:57:08.475125
Q_00620,EX_COM_FOO_H_068,Comprehension: Food Hard #6,2024-02-11T15:38:40,2024-02-11T18:13:59.880000,9319.88,2024-02-11T20:10:30,2024-02-11T18:13:59.880000,comprehension,food,banana,food/banana.png,hard,category_sorting,2024-02-11T18:13:29,2024-02-11T18:13:59.880000,30.88,banana,banana,1,1,1,phonemic,4,1,47.0,2,SESS_USER_017_001,USER_017,5,web,2024-02-11T18:14:01.600764
Q_00621,EX_WRI_ANI_E_318,Writing: Animals Easy #7,2024-08-14T18:05:02,2024-08-14T20:40:21.180000,9319.18,2024-08-14T17:30:00,2024-08-14T20:40:21.180000,writing,animals,cat,animals/cat.png,easy,fill_in_blank,2024-08-14T20:40:05,2024-08-14T20:40:21.180000,16.18,cat,cat,1,1,1,rhyming,6,1,30.69,1,SESS_USER_029_001,USER_029,2,mobile,2024-08-14T20:40:21.357504
Q_00622,EX_COM_BOD_H_155,Comprehension: Body Parts Hard #7,2024-04-11T11:21:34,2024-04-11T13:57:13.890000,9339.89,2024-04-11T14:47:30,2024-04-11T13:57:13.890000,comprehension,body_parts,neck,body_parts/neck.png,hard,yes_no_question,2024-04-11T13:56:50,2024-04-11T13:57:13.890000,23.89,chest,neck,0,0,1,rhyming,1,2,24.23,1,SESS_USER_046_001,USER_046,5,web,2024-04-11T13:57:15.576412
Q_00623,EX_WRI_CLO_E_149,Writing: Clothing Easy #7,2024-10-22T16:54:06,2024-10-22T19:30:04.750000,9358.75,2024-10-22T20:26:00,2024-10-22T19:30:04.750000,writing,clothing,vest,clothing/vest.png,easy,fill_in_blank,2024-10-22T19:29:40,2024-10-22T19:30:04.750000,24.75,sock,vest,0,0,0,,0,0,,0,SESS_USER_037_001,USER_037,1,web,2024-10-22T19:30:06.307010
Q_00624,EX_COM_FOO_H_098,Comprehension: Food Hard #4,2024-05-31T22:47:31,2024-06-01T01:23:54.630000,9383.63,2024-06-01T02:23:30,2024-06-01T01:23:54.630000,comprehension,food,salad,food/salad.png,hard,word_to_pic,2024-06-01T01:23:21,2024-06-01T01:23:54.630000,33.63,salad,salad,1,1,0,,0,0,,0,SESS_USER_005_001,USER_005,2,mobile,2024-06-01T01:23:56.594536
Q_00625,EX_WRI_ANI_E_180,Writing: Animals Easy #4,2024-02-25T20:20:09,2024-02-25T22:57:21.630000,9432.63,2024-02-25T23:07:00,2024-02-25T22:57:21.630000,writing,animals,fish,animals/fish.png,easy,spelling_choice,2024-02-25T22:56:14,2024-02-25T22:57:21.630000,67.63,fish,fish,1,1,1,modeling,6,2,41.27,4,SESS_USER_024_001,USER_024,2,web,2024-02-25T22:57:23.544883
Q_00626,EX_COM_BOD_H_319,Comprehension: Body Parts Hard #4,2024-10-20T17:42:30,2024-10-20T20:19:16.490000,9406.49,2024-10-20T16:44:30,2024-10-20T20:19:16.490000,comprehension,body_parts,tooth,body_parts/tooth.png,hard,yes_no_question,2024-10-20T20:18:50,2024-10-20T20:19:16.490000,26.49,foot,tooth,0,0,1,phonemic,7,1,36.3,2,SESS_USER_001_001,USER_001,1,web,2024-10-20T20:19:17.127613
Q_00627,EX_WRI_CLO_E_007,Writing: Clothing Easy #4,2024-04-27T17:17:00,2024-04-27T19:53:37.420000,9397.42,2024-04-27T20:10:00,2024-04-27T19:53:37.420000,writing,clothing,skirt,clothing/skirt.png,easy,pic_to_word,2024-04-27T19:53:33,2024-04-27T19:53:37.420000,4.42,skirt,skirt,1,1,0,,0,0,,0,SESS_USER_036_001,USER_036,1,mobile,2024-04-27T19:53:37.689458
Q_00628,EX_COM_FOO_H_266,Comprehension: Food Hard #8,2024-09-10T18:02:36,2024-09-10T20:39:55.600000,9439.6,2024-09-10T19:28:30,2024-09-10T20:39:55.600000,comprehension,food,orange,food/orange.png,hard,sentence_matching,2024-09-10T20:39:25,2024-09-10T20:39:55.600000,30.6,egg,orange,0,0,1,spelling,6,2,49.35,3,SESS_USER_025_001,USER_025,4,web,2024-09-10T20:39:55.949445
Q_00629,EX_WRI_ANI_E_287,Writing: Animals Easy #8,2024-12-15T12:48:07,2024-12-15T15:25:18.270000,9431.27,2024-12-15T13:44:00,2024-12-15T15:25:18.270000,writing,animals,chicken,animals/chicken.png,easy,word_completion,2024-12-15T15:25:10,2024-12-15T15:25:18.270000,8.27,chicken,chicken,1,1,0,,0,0,,0,SESS_USER_033_002,USER_033,2,web,2024-12-15T15:25:18.541422
Q_00630,EX_COM_BOD_H_158,Comprehension: Body Parts Hard #4,2024-02-25T20:00:40,2024-02-25T22:39:01.630000,9501.63,2024-02-25T23:28:30,2024-02-25T22:39:01.630000,comprehension,body_parts,shoulder,body_parts/shoulder.png,hard,yes_no_question,2024-02-25T22:37:58,2024-02-25T22:39:01.630000,63.63,chest,shoulder,0,0,1,spelling,6,3,17.33,6,SESS_USER_024_001,USER_024,2,web,2024-02-25T22:39:02.731830
Q_00631,EX_WRI_CLO_E_320,Writing: Clothing Easy #7,2024-02-15T18:31:07,2024-02-15T21:08:41.900000,9454.9,2024-02-15T18:31:00,2024-02-15T21:08:41.900000,writing,clothing,scarf,clothing/scarf.png,easy,fill_in_blank,2024-02-15T21:08:39,2024-02-15T21:08:41.900000,2.9,scarf,scarf,1,1,0,,0,0,,0,SESS_USER_030_001,USER_030,4,mobile,2024-02-15T21:08:43.598922
Q_00632,EX_COM_FOO_H_122,Comprehension: Food Hard #5,2024-12-25T22:44:38,2024-12-26T01:23:04.550000,9506.55,2024-12-26T02:44:30,2024-12-26T01:23:04.550000,comprehension,food,cookie,food/cookie.png,hard,word_to_pic,2024-12-26T01:22:27,2024-12-26T01:23:04.550000,37.55,egg,cookie,0,0,0,,0,0,,0,SESS_USER_019_001,USER_019,1,web,2024-12-26T01:23:05.457336
Q_00633,EX_WRI_ANI_E_032,Writing: Animals Easy #5,2024-09-15T15:09:08,2024-09-15T17:47:19.010000,9491.01,2024-09-15T20:09:00,2024-09-15T17:47:19.010000,writing,animals,lion,animals/lion.png,easy,spelling_choice,2024-09-15T17:47:09,2024-09-15T17:47:19.010000,10.01,lion,lion,1,1,1,sentence_completion,1,1,11.27,1,SESS_USER_047_001,USER_047,1,web,2024-09-15T17:47:20.603736
Q_00634,EX_COM_BOD_H_221,Comprehension: Body Parts Hard #6,2024-07-02T14:35:40,2024-07-02T17:14:11.610000,9511.61,2024-07-02T16:59:30,2024-07-02T17:14:11.610000,comprehension,body_parts,finger,body_parts/finger.png,hard,category_sorting,2024-07-02T17:14:00,2024-07-02T17:14:11.610000,11.61,mouth,finger,0,0,0,,0,0,,0,SESS_USER_003_001,USER_003,3,mobile,2024-07-02T17:14:12.564901
Q_00635,EX_WRI_CLO_E_315,Writing: Clothing Easy #6,2024-07-27T02:33:05,2024-07-27T05:11:43.360000,9518.36,2024-07-27T02:33:00,2024-07-27T05:11:43.360000,writing,clothing,dress,clothing/dress.png,easy,spelling_choice,2024-07-27T05:11:39,2024-07-27T05:11:43.360000,4.36,dress,dress,1,1,0,,0,0,,0,SESS_USER_012_002,USER_012,1,web,2024-07-27T05:11:43.494039
Q_00636,EX_COM_FOO_H_321,Comprehension: Food Hard #5,2024-10-20T17:47:37,2024-10-20T20:26:31.560000,9534.56,2024-10-20T16:44:30,2024-10-20T20:26:31.560000,comprehension,food,soup,food/soup.png,hard,yes_no_question,2024-10-20T20:26:26,2024-10-20T20:26:31.560000,5.56,orange,soup,0,0,0,,0,0,,0,SESS_USER_001_001,USER_001,1,web,2024-10-20T20:26:33.039232
Q_00637,EX_WRI_ANI_E_322,Writing: Animals Easy #4,2024-10-04T14:12:10,2024-10-04T16:51:28.030000,9558.03,2024-10-04T14:12:00,2024-10-04T16:51:28.030000,writing,animals,rabbit,animals/rabbit.png,easy,spelling_choice,2024-10-04T16:51:10,2024-10-04T16:51:28.030000,18.03,rabbit,rabbit,1,1,1,rhyming,1,1,49.88,1,SESS_USER_040_002,USER_040,3,web,2024-10-04T16:51:28.527536
Q_00638,EX_COM_BOD_H_323,Comprehension: Body Parts Hard #10,2024-11-12T13:33:40,2024-11-12T16:13:24.210000,9584.21,2024-11-12T13:33:30,2024-11-12T16:13:24.210000,comprehension,body_parts,chest,body_parts/chest.png,hard,sentence_matching,2024-11-12T16:12:56,2024-11-12T16:13:24.210000,28.21,chest,chest,1,0,1,rhyming,4,1,28.2,1,SESS_USER_042_002,USER_042,5,mobile,2024-11-12T16:13:25.713684
Q_00639,EX_WRI_CLO_E_324,Writing: Clothing Easy #8,2024-02-24T19:42:07,2024-02-24T22:21:46.220000,9579.22,2024-02-24T19:23:00,2024-02-24T22:21:46.220000,writing,clothing,vest,clothing/vest.png,easy,fill_in_blank,2024-02-24T22:21:37,2024-02-24T22:21:46.220000,9.22,vest,vest,1,1,1,modeling,4,1,7.8,1,SESS_USER_032_001,USER_032,3,web,2024-02-24T22:21:47.517779
Q_00640,EX_COM_FOO_H_126,Comprehension: Food Hard #4,2024-12-06T16:00:40,2024-12-06T18:40:39.790000,9599.79,2024-12-06T20:02:30,2024-12-06T18:40:39.790000,comprehension,food,water,food/water.png,hard,category_sorting,2024-12-06T18:40:26,2024-12-06T18:40:39.790000,13.79,water,water,1,1,1,sentence_completion,5,2,44.85,4,SESS_USER_027_001,USER_027,3,mobile,2024-12-06T18:40:41.247152
Q_00641,EX_WRI_ANI_E_325,Writing: Animals Easy #9,2024-02-25T14:10:08,2024-02-25T16:50:17.540000,9609.54,2024-02-25T14:10:00,2024-02-25T16:50:17.540000,writing,animals,bird,animals/bird.png,easy,spelling_choice,2024-02-25T16:50:11,2024-02-25T16:50:17.540000,6.54,bird,bird,1,1,0,,0,0,,0,SESS_USER_028_002,USER_028,1,web,2024-02-25T16:50:17.862187
Q_00642,EX_COM_BOD_H_323,Comprehension: Body Parts Hard #10,2024-11-12T13:33:40,2024-11-12T16:15:05.330000,9685.33,2024-11-12T13:33:30,2024-11-12T16:15:05.330000,comprehension,body_parts,shoulder,body_parts/shoulder.png,hard,word_to_pic,2024-11-12T16:14:00,2024-11-12T16:15:05.330000,65.33,shoulder,shoulder,1,0,1,spelling,3,2,29.1,3,SESS_USER_042_002,USER_042,5,mobile,2024-11-12T16:15:06.074391
Q_00643,EX_WRI_CLO_E_156,Writing: Clothing Easy #7,2024-04-11T11:22:06,2024-04-11T14:02:45.850000,9639.85,2024-04-11T14:58:00,2024-04-11T14:02:45.850000,writing,clothing,hat,clothing/hat.png,easy,spelling_choice,2024-04-11T14:02:39,2024-04-11T14:02:45.850000,6.85,hat,hat,1,1,0,,0,0,,0,SESS_USER_046_001,USER_046,5,web,2024-04-11T14:02:47.532853
Q_00644,EX_COM_FOO_H_108,Comprehension: Food Hard #6,2024-02-28T21:59:38,2024-02-29T00:40:34.090000,9656.09,2024-02-29T01:52:30,2024-02-29T00:40:34.090000,comprehension,food,salad,food/salad.png,hard,sentence_matching,2024-02-29T00:40:28,2024-02-29T00:40:34.090000,6.09,salad,salad,1,1,0,,0,0,,0,SESS_USER_048_001,USER_048,4,web,2024-02-29T00:40:34.353765
Q_00645,EX_WRI_ANI_E_184,Writing: Animals Easy #6,2024-07-26T23:38:08,2024-07-27T02:19:22.670000,9674.67,2024-07-27T02:33:00,2024-07-27T02:19:22.670000,writing,animals,zebra,animals/zebra.png,easy,word_completion,2024-07-27T02:19:08,2024-07-27T02:19:22.670000,14.67,zebra,zebra,1,1,1,spelling,3,2,17.91,3,SESS_USER_012_002,USER_012,1,web,2024-07-27T02:19:24.668596
Q_00646,EX_COM_BOD_H_326,Comprehension: Body Parts Hard #7,2024-02-11T20:23:32,2024-02-11T23:04:59.740000,9687.74,2024-02-11T20:10:30,2024-02-11T23:04:59.740000,comprehension,body_parts,eye,body_parts/eye.png,hard,word_to_pic,2024-02-11T23:04:47,2024-02-11T23:04:59.740000,12.74,eye,eye,1,1,0,,0,0,,0,SESS_USER_017_001,USER_017,5,web,2024-02-11T23:05:01.013370
Q_00647,EX_WRI_CLO_E_246,Writing: Clothing Easy #7,2024-07-01T01:01:04,2024-07-01T03:42:40,9696.0,2024-07-01T03:03:00,2024-07-01T03:42:40,writing,clothing,belt,clothing/belt.png,easy,spelling_choice,2024-07-01T03:42:38,2024-07-01T03:42:40,2.0,belt,belt,1,1,0,,0,0,,0,SESS_USER_015_002,USER_015,2,mobile,2024-07-01T03:42:40.608233
Q_00648,EX_COM_FOO_H_189,Comprehension: Food Hard #8,2024-04-12T21:36:34,2024-04-13T00:18:36.520000,9722.52,2024-04-13T00:42:30,2024-04-13T00:18:36.520000,comprehension,food,juice,food/juice.png,hard,word_to_pic,2024-04-13T00:18:22,2024-04-13T00:18:36.520000,14.52,egg,juice,0,0,0,,0,0,,0,SESS_USER_045_001,USER_045,4,mobile,2024-04-13T00:18:38.138075
Q_00649,EX_WRI_ANI_E_327,Writing: Animals Easy #5,2024-02-23T16:04:01,2024-02-23T18:46:26.250000,9745.25,2024-02-23T16:04:00,2024-02-23T18:46:26.250000,writing,animals,pig,animals/pig.png,easy,spelling_choice,2024-02-23T18:46:01,2024-02-23T18:46:26.250000,25.25,pig,pig,1,1,1,spelling,7,1,32.82,6,SESS_USER_036_002,USER_036,1,mobile,2024-02-23T18:46:26.643162
Q_00650,EX_COM_BOD_H_113,Comprehension: Body Parts Hard #5,2024-09-17T16:15:30,2024-09-17T18:58:07.780000,9757.78,2024-09-17T20:29:30,2024-09-17T18:58:07.780000,comprehension,body_parts,ear,body_parts/ear.png,hard,yes_no_question,2024-09-17T18:57:45,2024-09-17T18:58:07.780000,22.78,stomach,ear,0,0,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T18:58:08.346101
Q_00651,EX_WRI_CLO_E_328,Writing: Clothing Easy #9,2024-12-15T13:55:04,2024-12-15T16:37:59.260000,9775.26,2024-12-15T13:44:00,2024-12-15T16:37:59.260000,writing,clothing,tie,clothing/tie.png,easy,word_completion,2024-12-15T16:37:35,2024-12-15T16:37:59.260000,24.26,tie,tie,1,1,0,,0,0,,0,SESS_USER_033_002,USER_033,2,web,2024-12-15T16:38:00.791092
Q_00652,EX_COM_FOO_H_212,Comprehension: Food Hard #7,2024-07-01T00:23:34,2024-07-01T03:06:52.490000,9798.49,2024-07-01T03:05:30,2024-07-01T03:06:52.490000,comprehension,food,chicken,food/chicken.png,hard,yes_no_question,2024-07-01T03:06:23,2024-07-01T03:06:52.490000,29.49,potato,chicken,0,0,0,,0,0,,0,SESS_USER_015_002,USER_015,2,web,2024-07-01T03:06:54.099754
Q_00653,EX_WRI_ANI_E_307,Writing: Animals Easy #5,2024-04-07T17:03:01,2024-04-07T19:46:12.910000,9791.91,2024-04-07T16:26:00,2024-04-07T19:46:12.910000,writing,animals,snake,animals/snake.png,easy,pic_to_word,2024-04-07T19:46:01,2024-04-07T19:46:12.910000,11.91,snake,snake,1,1,1,modeling,2,1,28.87,2,SESS_USER_010_001,USER_010,5,mobile,2024-04-07T19:46:14.264335
Q_00654,EX_COM_BOD_H_308,Comprehension: Body Parts Hard #7,2024-10-22T20:07:38,2024-10-22T22:51:08.440000,9810.44,2024-10-22T20:41:30,2024-10-22T22:51:08.440000,comprehension,body_parts,stomach,body_parts/stomach.png,hard,category_sorting,2024-10-22T22:50:53,2024-10-22T22:51:08.440000,15.44,chest,stomach,0,0,1,phonemic,5,2,53.05,3,SESS_USER_037_001,USER_037,1,web,2024-10-22T22:51:10.111307
Q_00655,EX_WRI_CLO_E_091,Writing: Clothing Easy #5,2024-04-07T13:06:02,2024-04-07T15:50:13.470000,9851.47,2024-04-07T16:26:00,2024-04-07T15:50:13.470000,writing,clothing,sweater,clothing/sweater.png,easy,fill_in_blank,2024-04-07T15:49:36,2024-04-07T15:50:13.470000,37.47,sweater,sweater,1,1,0,,0,0,,0,SESS_USER_010_001,USER_010,5,mobile,2024-04-07T15:50:14.808870
Q_00656,EX_COM_FOO_H_329,Comprehension: Food Hard #11,2024-11-12T13:42:33,2024-11-12T16:26:56.190000,9863.19,2024-11-12T13:33:30,2024-11-12T16:26:56.190000,comprehension,food,orange,food/orange.png,hard,word_to_pic,2024-11-12T16:26:22,2024-11-12T16:26:56.190000,34.19,orange,orange,1,1,1,phonemic,6,1,45.7,2,SESS_USER_042_002,USER_042,5,mobile,2024-11-12T16:26:58.174656
Q_00657,EX_WRI_ANI_E_260,Writing: Animals Easy #6,2024-01-10T15:53:00,2024-01-10T18:37:08.070000,9848.07,2024-01-10T17:41:00,2024-01-10T18:37:08.070000,writing,animals,elephant,animals/elephant.png,easy,spelling_choice,2024-01-10T18:37:00,2024-01-10T18:37:08.070000,8.07,elephant,elephant,1,1,0,,0,0,,0,SESS_USER_006_001,USER_006,2,mobile,2024-01-10T18:37:09.861607
Q_00658,EX_COM_BOD_H_326,Comprehension: Body Parts Hard #7,2024-02-11T20:23:32,2024-02-11T23:08:01.780000,9869.78,2024-02-11T20:10:30,2024-02-11T23:08:01.780000,comprehension,body_parts,finger,body_parts/finger.png,hard,yes_no_question,2024-02-11T23:07:47,2024-02-11T23:08:01.780000,14.78,finger,finger,1,1,0,,0,0,,0,SESS_USER_017_001,USER_017,5,web,2024-02-11T23:08:03.479009
Q_00659,EX_WRI_CLO_E_328,Writing: Clothing Easy #9,2024-12-15T13:55:04,2024-12-15T16:39:43.010000,9879.01,2024-12-15T13:44:00,2024-12-15T16:39:43.010000,writing,clothing,pants,clothing/pants.png,easy,pic_to_word,2024-12-15T16:39:34,2024-12-15T16:39:43.010000,9.01,pants,pants,1,1,0,,0,0,,0,SESS_USER_033_002,USER_033,2,mobile,2024-12-15T16:39:43.970980
Q_00660,EX_COM_FOO_H_305,Comprehension: Food Hard #6,2024-12-25T20:04:36,2024-12-25T22:49:35.760000,9899.76,2024-12-25T19:53:30,2024-12-25T22:49:35.760000,comprehension,food,water,food/water.png,hard,sentence_matching,2024-12-25T22:49:22,2024-12-25T22:49:35.760000,13.76,cake,water,0,0,0,,0,0,,0,SESS_USER_023_001,USER_023,4,mobile,2024-12-25T22:49:36.059931
Q_00661,EX_WRI_ANI_E_330,Writing: Animals Easy #6,2024-01-09T16:43:01,2024-01-09T19:28:06.670000,9905.67,2024-01-09T16:43:00,2024-01-09T19:28:06.670000,writing,animals,horse,animals/horse.png,easy,word_completion,2024-01-09T19:28:01,2024-01-09T19:28:06.670000,5.67,horse,horse,1,1,0,,0,0,,0,SESS_USER_050_001,USER_050,5,mobile,2024-01-09T19:28:07.577285
Q_00662,EX_COM_BOD_H_204,Comprehension: Body Parts Hard #4,2024-03-20T21:02:32,2024-03-20T23:48:00.800000,9928.8,2024-03-21T00:00:30,2024-03-20T23:48:00.800000,comprehension,body_parts,knee,body_parts/knee.png,hard,yes_no_question,2024-03-20T23:47:50,2024-03-20T23:48:00.800000,10.8,tooth,knee,0,0,0,,0,0,,0,SESS_USER_014_001,USER_014,1,web,2024-03-20T23:48:02.556828
Q_00663,EX_WRI_CLO_E_331,Writing: Clothing Easy #10,2024-02-25T14:21:07,2024-02-25T17:07:01.610000,9954.61,2024-02-25T14:10:00,2024-02-25T17:07:01.610000,writing,clothing,shorts,clothing/shorts.png,easy,fill_in_blank,2024-02-25T17:06:42,2024-02-25T17:07:01.610000,19.61,shorts,shorts,1,1,1,phonemic,4,1,12.12,1,SESS_USER_028_002,USER_028,1,web,2024-02-25T17:07:02.114021
Q_00664,EX_COM_FOO_H_108,Comprehension: Food Hard #6,2024-02-28T21:59:38,2024-02-29T00:45:36.830000,9958.83,2024-02-29T01:52:30,2024-02-29T00:45:36.830000,comprehension,food,cookie,food/cookie.png,hard,category_sorting,2024-02-29T00:45:26,2024-02-29T00:45:36.830000,10.83,cookie,cookie,1,1,0,,0,0,,0,SESS_USER_048_001,USER_048,4,web,2024-02-29T00:45:37.139639
Q_00665,EX_WRI_ANI_E_332,Writing: Animals Easy #6,2024-03-19T14:55:04,2024-03-19T17:41:13.130000,9969.13,2024-03-19T14:55:00,2024-03-19T17:41:13.130000,writing,animals,bear,animals/bear.png,easy,spelling_choice,2024-03-19T17:41:04,2024-03-19T17:41:13.130000,9.13,bear,bear,1,1,1,rhyming,2,1,48.11,2,SESS_USER_019_002,USER_019,1,web,2024-03-19T17:41:15.009959
Q_00666,EX_COM_BOD_H_333,Comprehension: Body Parts Hard #7,2024-03-19T14:55:37,2024-03-19T17:42:24.780000,10007.78,2024-03-19T14:55:30,2024-03-19T17:42:24.780000,comprehension,body_parts,hand,body_parts/hand.png,hard,word_to_pic,2024-03-19T17:41:56,2024-03-19T17:42:24.780000,28.78,hand,hand,1,1,1,functional,4,1,31.46,3,SESS_USER_019_002,USER_019,1,web,2024-03-19T17:42:25.739511
Q_00667,EX_WRI_CLO_E_063,Writing: Clothing Easy #8,2024-09-10T14:50:10,2024-09-10T17:36:49.870000,9999.87,2024-09-10T19:48:00,2024-09-10T17:36:49.870000,writing,clothing,blouse,clothing/blouse.png,easy,fill_in_blank,2024-09-10T17:36:43,2024-09-10T17:36:49.870000,6.87,blouse,blouse,1,1,0,,0,0,,0,SESS_USER_025_001,USER_025,4,web,2024-09-10T17:36:51.417190
Q_00668,EX_COM_FOO_H_012,Comprehension: Food Hard #5,2024-04-07T12:18:30,2024-04-07T15:05:54.980000,10044.98,2024-04-07T17:46:30,2024-04-07T15:05:54.980000,comprehension,food,carrot,food/carrot.png,hard,word_to_pic,2024-04-07T15:05:18,2024-04-07T15:05:54.980000,36.98,chicken,carrot,0,0,0,,0,0,,0,SESS_USER_010_001,USER_010,5,mobile,2024-04-07T15:05:55.815747
Q_00669,EX_WRI_ANI_E_268,Writing: Animals Easy #6,2024-07-02T15:33:05,2024-07-02T18:20:12,10027.0,2024-07-02T17:17:00,2024-07-02T18:20:12,writing,animals,chicken,animals/chicken.png,easy,spelling_choice,2024-07-02T18:20:10,2024-07-02T18:20:12,2.0,elephant,chicken,0,0,0,,0,0,,0,SESS_USER_003_001,USER_003,3,mobile,2024-07-02T18:20:12.147128
Q_00670,EX_COM_BOD_H_334,Comprehension: Body Parts Hard #11,2024-11-14T22:06:31,2024-11-15T00:54:17.870000,10066.87,2024-11-14T22:06:30,2024-11-15T00:54:17.870000,comprehension,body_parts,ear,body_parts/ear.png,hard,word_to_pic,2024-11-15T00:53:49,2024-11-15T00:54:17.870000,28.87,hand,ear,0,0,0,,0,0,,0,SESS_USER_008_003,USER_008,5,mobile,2024-11-15T00:54:18.925014
Q_00671,EX_WRI_CLO_E_335,Writing: Clothing Easy #13,2024-02-22T17:52:00,2024-02-22T20:40:15.240000,10095.24,2024-02-22T17:12:00,2024-02-22T20:40:15.240000,writing,clothing,glove,clothing/glove.png,easy,fill_in_blank,2024-02-22T20:39:33,2024-02-22T20:40:15.240000,42.24,glove,glove,1,1,1,sentence_completion,4,1,9.66,3,SESS_USER_035_004,USER_035,3,mobile,2024-02-22T20:40:16.458897
Q_00672,EX_COM_FOO_H_055,Comprehension: Food Hard #4,2024-02-16T12:12:39,2024-02-16T15:00:32.920000,10073.92,2024-02-16T16:44:30,2024-02-16T15:00:32.920000,comprehension,food,meat,food/meat.png,hard,yes_no_question,2024-02-16T15:00:26,2024-02-16T15:00:32.920000,6.92,orange,meat,0,0,1,spelling,3,3,10.01,1,SESS_USER_002_001,USER_002,1,web,2024-02-16T15:00:33.293665
Q_00673,EX_WRI_ANI_E_307,Writing: Animals Easy #5,2024-04-07T17:03:01,2024-04-07T19:51:11.960000,10090.96,2024-04-07T17:49:00,2024-04-07T19:51:11.960000,writing,animals,duck,animals/duck.png,easy,fill_in_blank,2024-04-07T19:51:03,2024-04-07T19:51:11.960000,8.96,tiger,duck,0,0,1,rhyming,1,2,44.23,1,SESS_USER_010_001,USER_010,5,mobile,2024-04-07T19:51:12.330675
Q_00674,EX_COM_BOD_H_334,Comprehension: Body Parts Hard #11,2024-11-14T22:06:31,2024-11-15T00:55:03.400000,10112.4,2024-11-14T22:06:30,2024-11-15T00:55:03.400000,comprehension,body_parts,nose,body_parts/nose.png,hard,sentence_matching,2024-11-15T00:54:49,2024-11-15T00:55:03.400000,14.4,hand,nose,0,0,1,spelling,1,1,19.81,1,SESS_USER_008_003,USER_008,5,mobile,2024-11-15T00:55:03.624371
Q_00675,EX_WRI_CLO_E_246,Writing: Clothing Easy #7,2024-07-01T01:01:04,2024-07-01T03:49:37.440000,10113.44,2024-07-01T03:17:00,2024-07-01T03:49:37.440000,writing,clothing,shirt,clothing/shirt.png,easy,spelling_choice,2024-07-01T03:49:34,2024-07-01T03:49:37.440000,3.44,shirt,shirt,1,1,0,,0,0,,0,SESS_USER_015_002,USER_015,2,mobile,2024-07-01T03:49:38.008001
Q_00676,EX_COM_FOO_H_336,Comprehension: Food Hard #6,2024-09-17T20:42:36,2024-09-17T23:31:31.410000,10135.41,2024-09-17T20:29:30,2024-09-17T23:31:31.410000,comprehension,food,soup,food/soup.png,hard,word_to_pic,2024-09-17T23:31:22,2024-09-17T23:31:31.410000,9.41,meat,soup,0,0,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T23:31:32.219280
Q_00677,EX_WRI_ANI_E_337,Writing: Animals Easy #14,2024-02-22T17:55:08,2024-02-22T20:44:19.810000,10151.81,2024-02-22T17:12:00,2024-02-22T20:44:19.810000,writing,animals,chicken,animals/chicken.png,easy,pic_to_word,2024-02-22T20:44:08,2024-02-22T20:44:19.810000,11.81,chicken,chicken,1,1,1,modeling,5,1,20.91,2,SESS_USER_035_004,USER_035,3,web,2024-02-22T20:44:20.024333
